Adobe After Effects 8.0 Keyframe Data

	Units Per Second	12.5
	Source Width	1
	Source Height	1
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Rotation
	Frame	degrees	
	356	-144.691	
	357	-144.691	
	358	-143.055	
	359	-70.6584	
	360	1.73843	
	361	74.1353	
	362	154.227	
	363	234.32	
	364	314.412	
	365	394.504	
	366	474.596	
	367	554.688	
	368	634.78	
	369	714.872	
	370	714.872	
	371	714.872	

Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	-22.9497	-63.4109	0	
	1	-5.26331	-53.8299	0	
	2	12.4232	-37.8488	0	
	3	30.1096	-15.4678	0	
	4	47.7961	13.3133	0	
	5	65.4825	48.4943	0	
	6	83.1691	90.0753	0	
	7	100.855	138.056	0	
	8	118.542	192.437	0	
	9	136.228	253.218	0	
	10	153.915	320.4	0	
	11	171.601	393.981	0	
	12	193.403	455.469	0	
	13	227.068	433.151	0	
	14	254.451	412.002	0	
	15	281.833	397.252	0	
	16	309.216	388.903	0	
	17	336.599	386.953	0	
	18	363.981	391.404	0	
	19	391.364	402.255	0	
	20	418.747	419.505	0	
	21	446.13	443.156	0	
	22	473.513	473.206	0	
	23	500.896	509.657	0	
	24	528.279	552.507	0	
	25	555.661	601.758	0	
	26	568.171	638.428	0	
	27	542.402	631.233	0	
	28	536.567	635.273	0	
	29	547.346	649.548	0	
	30	554.094	666.323	0	
	31	541.487	669.732	0	
	32	528.879	679.542	0	
	33	520.008	686.989	0	
	34	519.85	680.183	0	
	35	519.693	679.776	0	
	36	519.535	685.77	0	
	37	521.488	689.556	0	
	38	525.025	692.354	0	
	39	529.707	694.476	0	
	40	531.492	694.001	0	
	41	529.182	695.183	0	
	42	530.377	695.382	0	
	43	533.113	696.405	0	
	44	533.109	696.232	0	
	45	533.102	696.139	0	
	46	533.099	696.085	0	
	47	533.098	696.054	0	
	48	533.098	696.054	0	
	49	533.811	694.095	0	
	50	535.628	689.103	0	
	51	538.228	681.962	0	
	52	541.417	673.2	0	
	53	545.054	663.208	0	
	54	549.038	652.26	0	
	55	553.278	640.61	0	
	56	557.671	628.542	0	
	57	562.071	616.453	0	
	58	566.037	605.557	0	
	59	598.975	521.46	0	
	60	631.913	443.763	0	
	61	664.852	372.466	0	
	62	697.79	307.569	0	
	63	737.324	262.578	0	
	64	776.858	223.986	0	
	65	816.392	191.794	0	
	66	816.833	170.838	0	
	67	812.887	157.246	0	
	68	808.941	150.055	0	
	69	804.995	149.263	0	
	70	801.048	154.872	0	
	71	797.102	166.88	0	
	72	793.156	185.289	0	
	73	789.209	210.097	0	
	74	785.263	241.306	0	
	75	781.317	278.914	0	
	76	777.37	322.923	0	
	77	771.139	371.902	0	
	78	751.151	408.837	0	
	79	724.984	438.47	0	
	80	698.818	474.504	0	
	81	671.7	515.936	0	
	82	641.109	555.667	0	
	83	608.621	597.877	0	
	84	574.234	642.565	0	
	85	537.947	689.729	0	
	86	521.719	675.476	0	
	87	508.652	657.687	0	
